HDI_rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_years_of_schooling_f,Mean_years_of_schooling_m,Estimated_gross_national_income_per_capita_f,Estimated_gross_national_income_per_capita_m,GII_value,GII_rank,maternal_mortality_ratio,adolescent_birth_rate,share_of_seats_parliament,population_above_secondary_education_f,population_above_secondary_education_m,labour_force_participation_rate_f,labour_force_participation_rate_m
60,Palau,..,..,..,..,..,..,17.8,16.5,..,..,..,..,..,..,..,..,13.8,96.9,97.3,..,..
62,Seychelles,..,..,..,..,78.6,69.5,15.3,14.3,..,..,..,..,..,..,..,56.9,21.2,..,..,..,..
63,Costa Rica,0.974,2,0.779,0.8,82.4,77.7,15.8,14.9,8.8,8.5,10419,18851,0.3,64,25,53.5,35.1,53.8,51.9,45.3,73.9
64,Turkey,0.922,4,0.755,0.819,79.2,72.8,14.7,15.7,7.1,8.8,15576,34313,0.317,69,16,25.8,14.6,44.9,66,32.4,71.9
65,Mauritius,0.968,2,0.773,0.799,78.4,71.4,15.5,14.6,9.1,9.5,12558,27986,0.373,84,53,26.6,11.6,64.3,67.3,45.1,72.7
66,Panama,0.988,1,0.782,0.791,81.3,75.3,13.3,12.1,10.4,9.9,13229,25102,0.461,109,94,81.8,18.3,72.7,68.4,52.8,81.2
67,Serbia,0.976,1,0.777,0.796,78.2,72.5,15.1,14.2,10.7,11.6,10672,15474,0.181,40,17,18.9,34.4,84.6,93,45.9,61.7
68,Albania,0.97,2,0.772,0.796,80.6,76.5,15,14.4,9.8,10.2,9702,14028,0.238,52,29,20.7,27.9,93.1,92.8,47.2,64.9
69,Trinidad and Tobago,1.013,1,0.794,0.784,74.4,67.4,14.4,12.5,11,10.8,22008,35435,0.324,73,63,30.1,30.1,74.4,69.1,51,73.7
70,Antigua and Barbuda,..,..,..,..,78.9,74,13.9,12.6,..,..,..,..,..,..,..,43.5,20,..,..,..,..
70,Georgia,0.975,1,0.766,0.786,77.6,69.2,15.3,14.8,12.8,12.8,6177,12481,0.35,78,36,45.9,16,95.1,96,57.9,78.8
72,Saint Kitts and Nevis,..,..,..,..,..,..,14.6,14.3,..,..,..,..,..,..,..,..,13.3,..,..,..,..
73,Cuba,0.942,3,0.751,0.797,81.9,78,14.3,13.7,11.6,12.1,5001,10045,0.301,65,39,43.6,48.9,86.7,88.9,41.5,67.3
74,Mexico,0.954,2,0.752,0.789,79.7,74.9,14.4,13.8,8.4,8.8,11065,22873,0.343,76,38,60.3,41.4,57.8,61,44.1,79
75,Grenada,..,..,..,..,76.3,71.4,17.4,16.3,..,..,..,..,..,..,27,29.2,25,..,..,..,..
76,Sri Lanka,0.935,3,0.738,0.789,78.8,72.1,14.1,13.6,10.3,11.4,6462,16581,0.354,80,30,14.1,5.8,82.6,83.1,35.1,74.1
77,Bosnia and Herzegovina,0.924,4,0.739,0.8,79.6,74.6,14.9,14.5,8.6,10.9,7723,15856,0.166,37,11,10,19.3,71.7,88.7,35.2,58.7
78,Venezuela (Bolivarian Republic of),1.011,1,0.762,0.754,78.9,70.8,15.4,13.2,10.7,10,7401,13976,0.454,105,95,85.3,22.2,71.7,66.6,50.2,77.4
79,Brazil,0.992,1,0.755,0.761,79.3,72.1,15.9,14.9,8,7.7,10073,17566,0.407,94,44,61.6,11.3,61,57.7,53.2,74.7
80,Azerbaijan,0.949,3,0.734,0.773,75.2,69.1,12.6,12.7,10.5,11,10089,21152,0.318,71,25,53.5,16.8,93.8,97.5,62.9,69.5
80,Lebanon,0.889,5,0.701,0.788,81.6,78.2,12.4,12.7,8.5,8.9,5523,21182,0.381,85,15,11.8,3.1,53,55.4,23.2,71.1
80,The former Yugoslav Republic of Macedonia,0.946,3,0.731,0.773,77.9,73.9,13.5,13.2,8.9,9.9,9114,15897,0.149,35,8,16.2,37.5,40.5,56,42.5,67.6
83,Armenia,0.969,2,0.74,0.764,77.8,71.4,13.4,12.6,11.7,11.7,6358,12281,0.262,55,25,23.2,18.1,96.9,97.6,51.4,70.6
83,Thailand,0.996,1,0.753,0.756,79.3,71.8,14.8,14.5,7.4,7.8,13793,17327,0.393,93,20,51.9,4.8,42.4,47.5,60.5,77.3
85,Algeria,0.861,5,0.68,0.791,77.6,75.1,14.6,14.1,7.6,8.6,4232,23181,0.442,100,140,10.1,21.3,37.5,37.9,15.2,67.3
86,China,0.955,2,0.735,0.769,78,74.9,14,13.6,7.6,8.3,12053,18295,0.152,36,27,6.4,24.2,74,82,61.5,76.1
86,Ecuador,0.978,1,0.741,0.757,79.3,73.9,15.4,13.9,8.6,8.8,7388,13307,0.385,88,64,73.9,38,52.1,52.2,55.4,81.3
88,Ukraine,0.993,1,0.746,0.751,76.9,67.1,15.2,14.8,11.3,11.3,6082,10513,0.285,61,24,23.8,12.3,94.5,95.6,46.9,63
89,Peru,0.95,3,0.728,0.766,77.9,72.6,13.9,13.6,8.7,9.7,8446,15140,0.368,83,68,47.5,27.7,57.1,67.5,69,84.5
90,Colombia,0.997,1,0.747,0.749,78.2,71,14.9,14.3,8.5,8.1,10271,15692,0.383,87,64,47.5,19.8,51.1,49.2,58.8,82.6
90,Saint Lucia,0.993,1,0.744,0.749,78.4,73,13.9,13.3,9.4,8.7,9388,14101,0.333,74,48,40.5,20.7,48.2,42,61.2,75.9
92,Fiji,..,..,..,..,73.6,67.5,..,..,10.9,10.7,5604,10963,0.352,79,30,43.9,16,77.3,68.3,40.8,75.4
92,Mongolia,1.023,1,0.75,0.733,73.7,65.4,15.9,15,10.6,9.8,8482,11759,0.301,65,44,23.6,17.1,91.2,86.3,52.7,66.2
94,Dominican Republic,0.989,1,0.728,0.736,77.3,71,14.5,13,8.1,7.5,8909,18975,0.451,103,92,95,24.3,58.6,54.4,54.4,79.5
95,Jordan,0.857,5,0.658,0.767,76.3,72.8,13.4,12.9,10.1,10.6,2459,13971,0.46,108,58,22.4,15.4,81.4,85.8,14,63.7
95,Tunisia,0.897,5,0.684,0.762,78,73.9,15.8,14.4,6.4,7.9,4537,16152,0.298,63,62,7.7,31.3,41.2,52.7,24.3,70.6
97,Jamaica,0.988,1,0.731,0.739,78.5,73.7,14.4,12.8,10,9.5,5898,9812,0.412,95,89,52.8,19,69.9,62.4,57.3,77.4
98,Tonga,0.96,2,0.707,0.736,76.2,70.2,14.6,14,11.2,11.1,3769,7314,0.416,96,124,14.7,7.7,92.7,92.3,45.2,74.2
99,Saint Vincent and the Grenadines,..,..,..,..,75.6,71.2,13.4,13.1,..,..,7643,13306,..,..,45,49,13,..,..,58.6,80.3
100,Suriname,0.975,2,0.705,0.723,74.9,68.4,13,12,8.3,8.6,9132,17449,0.441,99,155,46,25.5,58.7,57.8,41.8,65.3
101,Botswana,0.976,1,0.707,0.725,70.2,64.9,12.8,12.5,9.2,9.5,12613,18521,0.434,98,129,30,9.5,88.8,89.6,65.6,78.4
101,Maldives,0.919,4,0.679,0.739,78.8,76.7,12.7,12.6,6.2,6.4,7064,18501,0.343,76,68,5.8,5.9,44.9,49.3,42.9,82.1
103,Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..
104,Samoa,..,..,..,..,78.5,72.3,12.9,12.1,..,..,3778,7909,0.365,82,51,23.9,10,79.1,71.6,23.7,38.9
105,Uzbekistan,0.945,3,0.687,0.726,74.2,68.6,11.8,12.2,11.2,11.8,4687,8264,0.274,59,36,16.5,16.4,99.9,99.9,53.8,77.9
106,Belize,0.979,1,0.699,0.714,73.6,67.9,13,12.7,10.5,10.4,5689,8655,0.386,89,28,63.5,11.1,78.9,78.4,53.2,81.3
106,Marshall Islands,..,..,..,..,..,..,..,..,10.7,11.1,..,..,..,..,..,..,9.1,91.6,92.5,..,..
108,Libya,0.929,3,0.668,0.719,75.1,69.3,13.6,13.2,7.7,7,4623,17472,0.17,38,9,5.7,16,69.4,45,25.8,79
108,Turkmenistan,..,..,..,..,71.4,64.5,10.5,11.1,..,..,1124,20083,..,..,42,24.4,25.8,..,..,53.4,78.2
110,Gabon,0.911,4,0.67,0.735,68.2,64.9,12.5,13.4,7.4,9.1,11789,20825,0.534,128,291,95.3,17.4,65.6,49.8,42.9,59.4
110,Paraguay,0.972,2,0.69,0.71,75.5,71.1,13.2,12.2,8.4,8.3,6212,10486,0.467,113,132,55.7,16,47,49.2,56.6,83.9
112,Moldova (Republic of),1.005,1,0.701,0.698,76,67.4,11.9,11.4,11.5,11.7,4849,6318,0.226,48,23,22,22.8,95.5,97.4,39.5,45.8
113,Philippines,1,1,0.699,0.698,72.8,65.9,12.9,12.3,9.5,9.2,7582,10705,0.427,97,114,60.5,29.1,76.6,72.4,49.6,75.1
113,South Africa,0.984,1,0.692,0.704,67,59.9,13.7,13.1,9.9,10.4,9060,14894,0.389,90,138,42.8,41,74.2,77.4,47.9,62
115,Egypt,0.872,5,0.636,0.729,74,69.5,13.1,13.1,6.5,7.9,4081,16489,0.449,101,33,50,14.9,58.2,70.7,22.2,73.7
116,Indonesia,0.932,3,0.666,0.715,71.6,67.3,12.8,12.8,7.5,8.4,7259,14385,0.453,104,126,47.4,19.8,44.5,53.2,50.7,81.8
116,Viet Nam,1.005,1,0.696,0.692,81,71.8,12.9,12.5,7.9,8.5,5345,6383,0.304,67,54,27.3,26.7,66.2,77.7,73.2,83.5
118,Bolivia (Plurinational State of),0.929,3,0.665,0.716,72.1,67,14,14,8.2,9.7,4686,8737,0.45,102,206,68.1,51.8,50.5,59.5,55.2,79.9
119,Palestine. State of,0.877,5,0.623,0.71,75.6,71.8,13.7,12,8.9,9.3,1802,8216,..,..,45,56.2,..,58.5,62.3,19.5,71.8
120,Iraq,0.823,5,0.603,0.733,72.3,67.8,10.1,12,5.4,7.8,6039,29250,0.506,123,50,80.1,25.3,38.7,56.7,18.7,74.1
121,El Salvador,0.969,2,0.663,0.684,78.1,69.1,12.5,12.8,6.7,7.3,5226,8722,0.392,91,54,69.5,32.1,42.2,47.9,47,78.8
122,Kyrgyzstan,0.96,2,0.654,0.681,75.1,67.1,13.7,13.2,10.9,10.8,2159,4369,0.392,91,76,38.1,19.2,98.6,98.3,48.2,75.7
123,Morocco,0.838,5,0.598,0.713,77.2,74.9,12,12.8,4.5,6.5,3197,11561,0.482,119,121,31.1,18.4,28,34.8,25,74.1
124,Nicaragua,0.966,2,0.642,0.665,78.6,72.6,12.3,11.8,6.9,6.4,3434,6930,0.456,106,150,85.4,45.7,48.3,46.6,50.3,84
125,Cabo Verde,0.949,3,0.632,0.666,74.9,70.9,12.8,12.1,5.9,6.4,4295,7683,..,..,42,73.8,20.8,..,..,49.6,71.5
125,Guyana,0.948,3,0.631,0.666,69.2,64.5,11.7,11,8.5,8.4,4543,10295,0.504,122,229,85.8,31.9,70.9,55.5,40.7,74.6
127,Guatemala,0.948,3,0.63,0.665,76.8,70.4,10.7,10.9,6.4,6.5,4768,9869,0.493,120,88,70.9,12.7,38.4,37.2,40.6,85
127,Tajikistan,0.933,3,0.624,0.669,74.4,68.4,10.5,11.9,10.7,10.2,2233,4392,0.317,69,32,36.4,20,98.9,87,45.5,73.3
129,Namibia,1.014,1,0.651,0.642,67.7,61.8,12.4,12.2,7.2,6.6,8895,9907,0.472,115,265,73.8,36.3,39.9,41,58.5,65.2
130,India,0.841,5,0.575,0.683,70.4,67.3,12.9,11.9,4.8,8.2,2722,9729,0.524,127,174,23.1,11.6,39,63.5,27.2,78.8
131,Micronesia (Federated States of),..,..,..,..,70.5,68.1,..,..,..,..,..,..,..,..,100,13.9,0,..,..,..,..
132,Timor-Leste,0.855,5,0.567,0.663,71.1,67.4,12.3,13.2,3.6,5.3,3301,10282,..,..,215,44,32.3,..,..,24.9,52.3
133,Honduras,0.978,1,0.608,0.622,76.3,71.2,10.7,9.8,6.6,6.5,3277,5159,0.461,109,129,70.8,25.8,36.8,33.5,50.9,85.8
134,Bhutan,0.893,5,0.576,0.645,70.9,70.3,12.4,12.2,2.1,4.2,6002,9889,0.476,117,148,20.3,8.3,6,13.7,58,74.3
134,Kiribati,..,..,..,..,69.8,63.2,13.4,12.6,..,..,..,..,..,..,90,16.2,6.5,..,..,..,..
136,Bangladesh,0.881,5,0.567,0.644,74.6,71.2,11.7,11.3,5.2,6.7,2041,5285,0.542,134,176,83.5,20.3,44,48.2,33,79.8
137,Congo,0.934,3,0.583,0.624,66.7,63.5,11.2,11.5,5.5,6.7,4905,6483,0.578,143,442,111.8,14,46.7,51,67.4,72
138,Vanuatu,..,..,..,..,74.7,70.2,10.4,11.1,..,..,2340,3635,..,..,78,41.9,0,..,..,61.5,79.6
139,Lao People's Democratic Republic,0.934,3,0.579,0.621,68.6,65.4,10.9,11.5,4.6,5.7,5354,6789,0.461,109,197,62.6,27.5,33.6,45.2,76.9,79.7
140,Ghana,0.91,4,0.563,0.619,64.1,62,11.5,11.8,6.3,7.9,3349,4849,0.538,131,319,66.6,12.7,54.6,70.4,74.8,79.2
141,Equatorial Guinea,..,..,..,..,59.4,56.7,..,..,4,7.3,14869,23258,..,..,342,155.6,19.7,..,..,55.7,61.8
142,Kenya,0.931,3,0.568,0.61,69.7,64.9,11.7,12.5,5.7,7.1,2529,3398,0.549,137,510,80.5,23.3,29.2,36.6,62.4,68.5
143,Sao Tome and Principe,0.892,5,0.55,0.617,68.9,64.6,12.6,12.4,5.6,7.1,1780,4112,0.538,131,156,94.8,18.2,31.1,45.2,41.3,75.4
144,Eswatini (Kingdom of),0.943,3,0.568,0.603,61.3,54.9,10.8,11.6,6.1,6.9,5722,9641,0.569,141,389,77,14.7,30,32.7,42.7,67.2
144,Zambia,0.941,3,0.569,0.605,65,59.6,12,13,6.5,7.4,2986,4138,0.517,125,224,82.8,18,39.2,52.4,70.1,79.7
146,Cambodia,0.914,4,0.553,0.605,71.3,67.1,11.2,12.2,3.8,5.6,2970,3878,0.473,116,161,50.2,18.5,15.1,28.1,80.9,88.7
147,Angola,..,..,..,..,64.7,59,11,12.7,..,..,5063,6546,..,..,477,151.6,30.5,..,..,75.3,80.1
148,Myanmar,0.959,2,0.563,0.586,69.1,64.4,10.3,9.8,4.9,4.8,3860,7355,0.456,106,178,28.7,10.2,28.7,22.3,51.3,79.9
